Promedio horarios de coPromedio horarios de co
Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
18-05-2007,17,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.60,nr,0.6,nr,1.2,nr,nr,0.70,nr,0.30,0.3,0.60,nr,nr,0.8,nr,nr,2.1,nr,0.70,0.70,nr,nr,0.10,nr,0.10,0.80,
18-05-2007,18,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.60,nr,0.6,nr,1.3,nr,nr,1.00,nr,0.30,0.4,0.70,nr,nr,0.8,nr,nr,2.4,nr,0.80,0.70,nr,nr,0.20,nr,0.40,0.70,
18-05-2007,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.30,nr,0.6,nr,1.1,nr,nr,0.60,nr,0.20,0.2,1.10,nr,nr,0.9,nr,nr,1.9,nr,1.10,0.60,nr,nr,0.20,nr,0.60,0.30,
18-05-2007,20,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.80,nr,0.6,nr,1.1,nr,nr,0.90,nr,0.40,0.3,1.20,nr,nr,nr,nr,nr,1.5,nr,1.50,0.60,nr,nr,0.40,nr,0.70,0.40,
18-05-2007,21,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.00,nr,0.9,nr,1.6,nr,nr,1.70,nr,0.60,0.6,1.00,nr,nr,2.0,nr,nr,2.4,nr,1.00,0.70,nr,nr,0.90,nr,0.60,0.40,
18-05-2007,22,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.10,nr,0.8,nr,1.7,nr,nr,1.60,nr,0.50,0.4,0.90,nr,nr,2.7,nr,nr,3.7,nr,0.70,0.70,nr,nr,1.30,nr,0.50,0.80,
18-05-2007,23,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.60,nr,0.5,nr,0.9,nr,nr,0.80,nr,0.40,0.3,0.90,nr,nr,1.6,nr,nr,1.9,nr,0.60,0.70,nr,nr,1.00,nr,0.50,0.50,
18-05-2007,24,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.40,nr,0.5,nr,0.8,nr,nr,0.60,nr,0.20,0.3,0.80,nr,nr,0.9,nr,nr,1.8,nr,0.50,0.60,nr,nr,0.60,nr,0.50,0.30,
19-05-2007,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.40,nr,0.4,nr,0.7,nr,nr,0.40,nr,0.10,0.0,0.70,nr,nr,0.6,nr,nr,0.9,nr,0.40,0.50,nr,nr,0.20,nr,0.50,0.40,
19-05-2007,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.70,nr,0.4,nr,0.6,nr,nr,0.40,nr,0.10,0.0,0.60,nr,nr,0.6,nr,nr,0.9,nr,0.40,0.50,nr,nr,0.10,nr,0.40,0.50,
19-05-2007,3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.70,nr,0.5,nr,0.6,nr,nr,0.40,nr,0.20,0.0,0.70,nr,nr,0.6,nr,nr,0.9,nr,0.50,0.60,nr,nr,0.10,nr,0.50,0.30,
19-05-2007,4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.80,nr,0.6,nr,0.7,nr,nr,0.50,nr,0.30,0.0,0.70,nr,nr,0.9,nr,nr,0.9,nr,0.50,0.70,nr,nr,0.10,nr,0.50,0.50,
19-05-2007,5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.80,nr,0.7,nr,0.8,nr,nr,0.90,nr,0.30,0.2,1.00,nr,nr,1.2,nr,nr,1.9,nr,0.70,0.80,nr,nr,0.10,nr,0.50,0.50,
19-05-2007,6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.20,nr,1.3,nr,1.1,nr,nr,1.00,nr,0.40,0.5,1.30,nr,nr,1.1,nr,nr,2.9,nr,1.30,0.90,nr,nr,0.50,nr,0.60,1.00,
19-05-2007,7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.70,nr,2.3,nr,3.4,nr,nr,1.10,nr,0.90,1.7,1.60,nr,nr,2.3,nr,nr,1.7,nr,1.70,1.30,nr,nr,1.00,nr,0.90,2.30,
19-05-2007,8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.90,nr,2.7,nr,3.2,nr,nr,1.20,nr,1.30,1.7,1.80,nr,nr,2.3,nr,nr,2.1,nr,1.50,1.30,nr,nr,0.60,nr,0.60,1.80,
19-05-2007,9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.40,nr,2.5,nr,2.7,nr,nr,nr,nr,1.10,1.1,1.20,nr,nr,1.6,nr,nr,1.6,nr,1.40,0.90,nr,nr,0.50,nr,0.50,1.00,
